date,equity_backtest,equity_paper,diff,ratio
2024-11-27,121212.50844913324,157255.49636369126,36042.98791455802,1.2973537003376465
2024-11-28,120959.50106511894,156955.5538655151,35996.052800396166,1.2975876428344193
2024-11-29,128916.61484784853,167305.913805728,38389.298957879466,1.2977839513020701
2024-11-30,131557.0000790072,170731.175248427,39174.17516941979,1.2977733997118628
2024-12-01,139420.3461676808,180900.8371430459,41480.4909753651,1.2975210728961792
2024-12-02,160724.2785602421,208356.3439594052,47632.06539916311,1.2963588689017498
2024-12-03,155513.38601924657,201574.26247415392,46060.87645490735,1.2961859273593772
2024-12-04,154577.76739199585,200352.3699613089,45774.60256931305,1.2961266897666637
2024-12-05,149203.61438037115,193382.34707378305,44178.732693411905,1.296096933555411
2024-12-06,160065.0328831313,207531.68029440907,47466.64741127778,1.2965460135564695
2024-12-07,160336.4570623352,207856.9315497093,47520.4744873741,1.2963797214809307
2024-12-08,162816.14643160772,211166.1874437055,48350.04101209779,1.2969609714501358
2024-12-09,137304.631296716,178198.17555000755,40893.54425329156,1.2978307713810497
2024-12-10,138909.16867241732,180274.16461438197,41364.99594196465,1.297784489946187
2024-12-11,145816.78072021352,191359.6859332937,45542.90521308017,1.3123296577261967
2024-12-12,153855.77601901154,203190.7389697887,49334.962950777175,1.3206572039562623
2024-12-13,155000.4908584809,204699.87762584776,49699.38676736687,1.3206401895381323
2024-12-14,151323.19885083425,199843.5397965377,48520.34094570344,1.3206404656666821
2024-12-15,153300.5626999683,204006.6818578529,50706.11915788462,1.3307627725876254
2024-12-16,152346.4230307426,201925.1145134795,49578.691482736904,1.3254339058077669
2024-12-17,150950.04561840126,200978.5091386563,50028.463520255056,1.3314239708593798
2024-12-18,138299.80231243817,185561.11572747817,47261.31341504,1.341730881930476
2024-12-19,130463.4880368196,175075.52460693248,44612.036570112876,1.341950358996399
2024-12-20,133250.91341596446,178839.11281735613,45588.19940139167,1.342122978617645
2024-12-21,128454.628538106,172418.1111350499,43963.4825969439,1.3422491123696811
2024-12-22,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-23,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-24,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-25,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-26,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-27,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-28,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-29,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-30,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
2024-12-31,128454.628538106,172032.44929586395,43577.820757757945,1.3392467928458538
